% Raw files metadata info
% Comma separated file with the following fields
% Path: Path and file name to the file
% Ignore Flag: 1=> Ignore data of the specified interval. Default: 0
% Start offset days     |
% Start offset Hours    | Offset to apply to the first sample of the specified data interval, timestamps are computed by adding the offset
% Start offset Minutes  |

% Start offset days     |
% Start offset Hours    | Offset to apply to the last sample of the specified data interval, timestamps copmputed by linear interpolation between start and end offsets
% Start offset Minutes  |

% Data range start: First line in raw data to be offseted/ignored
% Data range end: Last line in raw data to be offseted/ignored, the 'end' flag is accepted meaning the last line of the file

% Set ignore flag to 1 if the file should not be used at all
% Set offset times adding sign to all entries (i.e. -1 day -3 hour -2 minutes)
% If there is entries to be ignored, set the first and last valid entries to something different than 1:end
% Remember not to use commas on comments
%
% File path and name,Ignore flag,Initial offset days,Initial offset Hours,Initial offset minutes,Final offset days,Final offset Hours,Final offset minutes,First valid entry,Last valid entry
/2013/summer/loggers/raw/6563.006,0,4944,22,32.783,0,0,0,1,end
% Logger reset and start from day 0 year 2000. Right offset recorded on fieldbook (CAR p.51) Logger time 0000,001,18:15 (in file year shows up as 2000) GPS time 2013,197,16:47:47 (JULY 16th)
%
/2011/summer/loggers/raw/15949.001,1,0,0,0,0,0,0,1,5
/2011/summer/loggers/raw/15948.001,1,0,0,0,0,0,0,1,1
% From temperature records it is obvious that the few entries at the start of the files that belong to a time months before are wrong
%
/2013/winter/loggers/raw/12603.005,0,0,13,9,0,0,0,1,end
/2013/winter/loggers/raw/12603.006,0,0,23,29,0,0,0,1,end
% An offset of -10h -20min can be computed from jump from 12603.005 to 12603.006, as both starts at the same time, but data seem continous. So this offset is needed to be applied to 12603.005 to splice both files seamlesly.
% But from the temperature record of spliced data it is clear that both files (spliced as above) are about one day behind, so i corrected they would be continuos with next file /2013/summer/loggers/raw/12603.001 & 002 which time is OK from temperature records. For a proper splicing of temperature series an offset of 23h 29 min was computed.
%
/2013/summer/loggers/raw/55426.001,1,0,0,0,0,0,0,1,1
% It have one record with completely out of place date at the file start
%
/2014/summer/loggers/raw/62566.001,1,0,0,0,0,0,0,1,1
% It have one record with completely out of place date at the file start
%
%/2014/winter/loggers/raw/15948.001,1,0,0,0,0,0,0,1,end
% File with 10 days of data and completely out of time as it becomes evident from temperature records. It has transducers hooked up from channels 1-5, showing only NaN and few random values in between, so the file is discarded. This data is duplicated at the start of /2014/summer/loggers/raw/15948.001 but with July dates instead of May.
The temperature record suggest that the timestamps correspond to July 2014 but offseted about 1.5 days
%
/2014/summer/loggers/raw/15948.001,1,0,0,0,0,0,0,1,6564
% See entry for /2014/winter/loggers/raw/15948.001
%
/2014/summer/loggers/raw/13495.001,1,0,0,0,0,0,0,1,end
% ~9 hours file with no tranducers hooked-up and factory date (year 2000). Probably a logger connected by first time.
%
% All entries below correspond to automatic minimum final offset needed to avoid time overlaps with next file
/2012/summer/loggers/raw/2381.004,0,0,0,0,0,0,-1,1,end
/2014/summer/loggers/raw/15949.002,0,0,0,0,0,0,-2,1,end
/2011/summer/loggers/raw/12603.002,0,0,0,0,0,0,-1,1,end
/2011/summer/loggers/raw/12603.004,0,0,0,0,0,0,-1,1,end
/2011/summer/loggers/raw/6566.003,0,0,0,0,0,0,-1,1,end
/2012/summer/loggers/raw/6566.005,0,0,0,0,0,0,-1,1,end
/2010/summer/loggers/raw/6563.007,0,0,0,0,0,0,-1,1,end
/2013/winter/loggers/raw/14534.017,0,0,0,0,0,0,-1,1,end
%
% Field 2015 data entries
/2015/winter/loggers/raw/55427.002,1,0,0,0,0,0,0,298304,end
% after line 298303 there is a ~1 hour backwards time jump, and only a couple hours of data afterwars that were discarded
%
/2015/winter/loggers/raw/12603.003,1,0,0,0,0,0,0,1,end
% File contains only one line with a wrong timestamps (year 2020)
%
/2015/summer/loggers/raw/12603.001,0,178,0,0,0,0,0,1,end
%File had wrong timestamps, time OK but day with 178 days offset (July 17 was day 20)
%
/2015/summer/loggers/raw/12603.006,0,178,0,0,0,0,0,1,458
%File had wrong timestamps, time OK but day with 178 days offset (July 17 was day 20). Correction was done after line 458
